MARCA,MODEL,VALOARE_DAUNA,PRET_MANOPERA,PROCENT_MANOPERA
BMW,325I,799.32,471.48,58.98513736676174
FORD,WINDSTAR,695.06,367.22,52.83284896267949
FORD,F250 SUPER DUTY,452.45,124.61,27.5411647695878
FORD,FOCUS,448.48,121.26,27.037995005351412
FORD,FOCUS,333.41,25.24,7.570258840466691
FORD,WINDSTAR,611.89,294.46,48.12302864894017
FORD,F350 SUPER DUTY,546.91,194.82,35.621948766707504
FORD,FOCUS,379.57,75.15,19.798719603762155
FORD,EXPEDITION,359.14,72.81,20.27343097399343
BMW,530I,264.81,69.76,26.343416034137686
FORD,EXPLORER,426.22,98.38,23.081976444089904
FORD,EXCURSION,627.23,299.39,47.73209189611466
FORD,F150,392.24,64.4,16.41851927391393
FORD,MUSTANG GT,421.99,94.15,22.310955235906064
FORD,FOCUS,1401.05,1114.71,79.56247100388994
AUDI,A6,354.45,183.72,51.83241641980534
FORD,FOCUS,571.24,218.11,38.18185001050347
FORD,F-350 SD,619.39,291.56,47.07211934322479
FORD,MUSTANG,384.39,56.55,14.711621009911807
FORD,ESCAPE,398.81,112.47,28.201399162508462
FORD,EXPEDITION,817.92,490.09,59.91906298904538
FORD,TAURUS,431.06,103.22,23.945622419152784
FORD,FOCUS,401.32,73.48,18.309578391308683
FORD,EXPLORER,444.96,117.12,26.321467098166128
FORD,RANGER,510.94,183.1,35.83591028300779
FORD,THUNDERBIRD,439.33,111.5,25.379555231830288
FORD,F-150,390.47,104.14,26.670422823776473
FORD,MUSTANG GT,386.48,108.81,28.154108880149035
FORD,TAURUS,891.52,378.1,42.41071428571429
FORD,F150,399.83,102.04,25.520846359702876
FORD,EXPEDITION,422.73,81.78,19.34568164076361
FORD,TAURUS,568.3,270.51,47.59985922928031
FORD,F-150,541.55,255.21,47.125842489151516
FORD,CROWN VICTORIA,528.75,200.91,37.99716312056737
FORD,F250 SUPER DUTY,428.44,87.49,20.42059564933246
FORD,EXPEDITION,357.14,70.81,19.82695861566893
FORD,FOCUS,416.48,108.31,26.006050710718405
FORD,F-150,526.33,136.68,25.968498850531034
FORD,EXPLORER,429.4,101.57,23.653935724266418
FORD,MUSTANG,641.0,300.05,46.80967238689548
FORD,FOCUS,468.94,115.81,24.69612317140786
FORD,EXPEDITION,548.61,220.77,40.241701755345325
FORD,ESCAPE,521.51,76.16,14.603746812141665
BMW,5 SERIES,447.44,119.6,26.72984087251922
FORD,FOCUS,400.23,113.9,28.458636284136624
FORD,ECONOLINE,456.9,131.71,28.82687677828847
FORD,RANGER,407.28,109.5,26.8856806128462
FORD,FOCUS,427.5,141.17,33.02222222222222
FORD,EXPLORER,350.1,63.77,18.21479577263639
FORD,F250 SUPER DUTY,417.33,89.49,21.443462008482495
FORD,FOCUS,528.75,200.91,37.99716312056737
FORD,EXPLORER,427.32,99.48,23.27997753440045
FORD,WINDSTAR,376.37,90.04,23.923266997901003
FORD,F-150,384.39,56.55,14.711621009911807
FORD,F150,433.98,93.03,21.43647172680769
FORD,F-150,660.83,102.05,15.442700845905904
FORD,FREESTAR,586.72,72.9,12.42500681756204
FORD,EXPLORER,399.17,81.75,20.47999599168274
FORD,F150,351.1,31.93,9.094275135289092
FORD,WINDSTAR,416.22,156.1,37.50420450723175
FORD,MUSTANG,615.62,353.38,57.402293622689314
FORD,MUSTANG,601.12,317.09,52.74986691509183
FORD,ESCAPE,639.88,355.67,55.58385947365131
FORD,ESCAPE,305.55,158.37,51.83112420225823
FORD,EXPEDITION,378.09,262.95,69.54693326985638
FORD,TAURUS,475.71,333.22,70.0468772991949
FORD,F-150,388.7,90.91,23.38821713403653
FORD,ESCAPE,665.56,27.04,4.0627441552977945
BMW,330XI,489.89,148.94,30.402743473024557
FORD,EXPLORER,795.81,600.75,75.48912428846081
AUDI,A8,409.59,199.97,48.82199272443175
FORD,MUSTANG,339.65,123.24,36.28441042249374
FORD,F150,361.83,75.49,20.863388884282674
FORD,RANGER,365.82,96.67,26.42556448526598
FORD,ESCAPE,360.52,165.47,45.897592366581605
FORD,EXPLORER,374.88,262.44,70.00640204865557
AUDI,A4,367.16,156.43,42.605403638740604
AUDI,A4,374.92,260.86,69.577509868772
FORD,FOCUS,704.83,107.19,15.207922477760594
FORD,MUSTANG GT,429.35,234.3,54.57086293233958
FORD,EXPEDITION,671.94,181.8,27.055987141709082
FORD,RANGER,765.1,226.01,29.539929420990717
FORD,ECONOLINE,432.48,104.37,24.132907880133185
FORD,FOCUS,1427.62,99.02,6.9360193889130155
FORD,EXPLORER,331.6,59.66,17.991556091676717
FORD,EXPEDITION,373.39,93.31,24.989956881544767
FORD,MUSTANG,563.05,326.0,57.89894325548354
FORD,TAURUS,290.81,119.6,41.12650871703173
FORD,TAURUS,478.0,271.91,56.88493723849373
FORD,MUSTANG,415.36,231.67,55.7757126348228
FORD,EXPLORER,396.58,162.43,40.95768823440416
FORD,EXPLORER,355.43,148.92,41.898545423852795
AUDI,A4,425.84,206.81,48.565188803306405
AUDI,A8,476.19,288.86,60.66066066066066
AUDI,A4,554.63,336.16,60.609775886627126
AUDI,A4,358.92,155.19,43.23804747576061
AUDI,A4,445.36,210.45,47.25390695167954
FORD,ESCAPE,404.5,315.03,77.88133498145858
FORD,ESCAPE,409.78,303.63,74.09585631314364
FORD,EXPLORER,314.68,127.97,40.66670903775263
FORD,EXPLORER,414.1,269.81,65.15575947838687
